Plant_Name,Scientific_Name,Description,Parts_Used,Weather_Conditions_Required_to_Grow,Chemical_Properties,Morphological_Features,Medicinal_Value,Worldwide_regions_Support_their_Growth,References
 Bear's Weed / California Yerba Santa / Consumptive's Weed / Gum Bush / Hierba Santa / Holy Herb / Mountain Balm / Tarweed / Yerb,Eriodictyon californicum,"Eriodictyon californicum, commonly known as California Yerba Santa or simply Yerba Santa, is a perennial evergreen shrub belonging to the Hydrophyllaceae family. This plant is native to the coastal regions of California and Oregon, thriving in dry, rocky habitats such as chaparral and mixed evergreen forests. California Yerba Santa typically grows to a height of 3 to 10 feet (0.9 to 3 meters) and features erect, much-branched stems. The leaves are lance-shaped, dark green, leathery, and covered with a shiny resin that gives them a distinctive aroma. In spring, the shrub produces clusters of bell-shaped flowers that can be white, lavender, or pale blue, attracting various pollinators, especially bees.","The primary parts used for medicinal purposes are the leaves of Eriodictyon californicum. These leaves are often dried and brewed into teas or used in extracts for their therapeutic properties. Historically, Native Americans utilized the leaves for various ailments, including respiratory issues.","Eriodictyon californicum thrives in specific weather conditions, particularly in a Mediterranean climate characterized by wet, mild winters and hot, dry summers. It grows best in well-drained soils, whether sandy, loamy, or clayey, and can tolerate a range of soil pH levels, from acidic to alkaline. For optimal growth, the plant requires full sun to partial shade. Once established, its water needs are minimal, as it is highly drought-tolerant.","
Eriodictyon californicum, commonly known for its medicinal properties, contains several active compounds with significant biological effects. The primary constituents are flavonoids, including sterubin, eriodictyol, and homoeriodictyol, which are known for their anti-inflammatory and neuroprotective activities. These compounds have been linked to various health benefits. Additionally, extracts from the leaves of Eriodictyon californicum are recognized for their expectorant properties and have been traditionally used to help manage respiratory conditions such as asthma and chronic bronchitis.","California Yerba Santa, exhibits distinct morphological characteristics. It typically grows to a height ranging from 3 to 10 feet (0.9 to 3 meters). The plant's lance-shaped leaves, which are 4 to 15 cm long, have a dark green color on the upper surface and a glutinous texture. These leaves can either be smooth or serrated. The flowers are trumpet-shaped, measuring 8 to 17 mm in length, and are usually white or purple, blooming in clusters during the spring. The root system is shallow but widespread, which aids in soil stabilization and helps prevent erosion.","California Yerba Santa holds significant medicinal value due to its bioactive compounds. Traditionally, it has been used as an expectorant to relieve coughs and colds, and modern studies suggest it may help alleviate symptoms of asthma and bronchitis. Additionally, the plant contains compounds like eriodictyol, which have been linked to anti-inflammatory properties and may offer neuroprotective benefits, potentially aiding in the prevention of diseases such as Alzheimer’s. Some research also indicates that extracts from Yerba Santa could be beneficial for weight management in individuals with obesity.","
Eriodictyon californicum is primarily found in North America, particularly in California and Oregon, where it thrives along the coastal ranges from Monterey County northward. It favors dry mountain slopes and disturbed areas, where it can establish itself quickly through seeds or rhizomes.",https://www.mdpi.com/2504-3900/70/1/64
 Ci wu jia (Pinyin) / Eleuthero Ginseng / Siberian Ginseng / Spiny Ginseng / Wu jia,Eleutherococcus senticosus,"Eleutherococcus senticosus, commonly known as Siberian ginseng, is a perennial shrub belonging to the Araliaceae family. Eleutherococcus senticosus is a deciduous shrub that can grow up to 3 meters tall. It features spiny stems and compound leaves with five to seven leaflets. The plant produces small, greenish-yellow flowers that bloom in clusters during late summer, followed by small berries that turn black when ripe. Its root system is notable for its thick, fleshy roots which are the primary part used for medicinal purposes.","The primary part of Eleutherococcus senticosus utilized in herbal medicine is its root. The roots are harvested for their bioactive compounds, which are believed to contribute to the plant's adaptogenic properties.","Eleutherococcus senticosus flourishes in temperate climates, ideally within a temperature range of 15°C to 25°C (59°F to 77°F). The plant requires well-drained, loamy soil rich in organic matter and partial shade, often thriving under the canopy of taller trees. Consistent moisture is necessary, though the soil should not become waterlogged.","The roots of are rich in bioactive compounds with significant medicinal properties. Eleutherosides, a type of glycoside, exhibit adaptogenic effects, while polysaccharides support immune function. Additionally, flavonoids and phenolic compounds contribute antioxidant benefits.","Eleutherococcus senticosus can be identified by its distinctive pinnate leaves with serrated edges and dark green color. It produces small, inconspicuous flowers in clusters, followed by berries that turn from green to black as they ripen.","Renowned for its adaptogenic qualities, Eleutherococcus senticosus is used to bolster immune function, increase energy and stamina, and combat fatigue. It is also believed to support cognitive function, enhancing mental clarity and focus, making it popular in herbal medicine.","Native to Eastern Asia, Eleutherococcus senticosus grows naturally in Russia, particularly Siberia and the Far East, as well as northeastern China, Japan, and Korea, where it is cultivated for traditional medicine. Its popularity has also led to its introduction in parts of North America and Europe.",https://www.sciencedirect.com/topics/neuroscience/eleutherococcus-senticosus
 Opium poppy / Poppy /  Poppyseed Poppy,Papaver somniferum,"Papaver somniferum, commonly known as the opium poppy, is an annual herbaceous plant that typically reaches heights of about 100 centimeters (40 inches). The plant features a glaucous appearance due to its greyish-green color and is characterized by a sparse distribution of coarse hairs on its stem and leaves. The leaves are lobed, with the upper leaves clasping the stem and the lower leaves having short petioles. The flowers, which can range from white to mauve or red, have four petals and may exhibit dark markings at their bases. The fruit is a rounded capsule that is hairless and topped with 12 to 18 radiating stigmatic rays. Notably, all parts of the plant exude a white latex when wounded, which is the source of opium.","The primary parts of Papaver somniferum utilized in various applications include the seeds and the latex produced by the capsules. The seeds are often used in culinary applications, while the latex, which contains numerous alkaloids, is harvested for medicinal purposes. The capsules themselves are also significant as they contain the latex that can be processed into opium.","Papaver somniferum thrives in specific weather conditions that include moderate temperatures and well-drained soil. The ideal temperature range for growth is between 15°C to 20°C (59°F to 68°F). The plant requires adequate moisture during its early growth stages but can tolerate slight water deficits as it matures. Rainfall during the flowering and capsule formation stages is crucial, as excessive moisture can lead to diseases that affect the yield.","The latex of Papaver somniferum is rich in alkaloids, numbering around 80, with the most notable being morphine, codeine, and thebaine. These alkaloids are synthesized in the laticiferous system of the plant and are primarily concentrated in the capsules. The metabolic pathway for these alkaloids begins with phenylalanine, which is converted into various compounds through enzymatic reactions, ultimately leading to the formation of the key alkaloids used in medicine.","Morphologically, Papaver somniferum is characterized by its tall, smooth stem, which can grow between 1 to 1.5 meters (3 to 5 feet) in height. The leaves are oblong, lobed, and can measure between 10 to 38 centimeters (4 to 15 inches) in length. The flowers bloom in a range of colors and typically measure 3 to 10 centimeters (1 to 4 inches) in diameter. The mature capsules are rounded and can vary in size, containing the latex that is harvested for opium production.","The medicinal value of Papaver somniferum is significant due to its alkaloid content. Morphine is widely used as a powerful analgesic for pain relief, while codeine serves as a less potent pain reliever and cough suppressant. Thebaine is used in the synthesis of other medications. Despite its therapeutic benefits, the use of opium and its derivatives is controversial due to their potential for addiction and abuse.","Papaver somniferum is cultivated in various regions worldwide, particularly in areas with suitable climatic conditions. Major producers include Afghanistan, Myanmar, and Mexico, where the plant is grown both legally and illegally. In Europe, countries like Turkey and Spain also cultivate this species for its seeds and medicinal properties. The cultivation practices vary based on local regulations and climatic conditions, with some regions favoring autumn sowing while others prefer spring.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/papaver-somniferum
 Red Sorrel / Roselle,Hibiscus sabdariffa,"Hibiscus sabdariffa, commonly known as roselle, is an annual or perennial herbaceous plant that grows up to 2-2.5 m tall. It has erect, reddish stems that are more or less branched. The leaves are alternate, deeply 3-5 lobed, 8-15 cm long, and glabrous. The flowers are 8-10 cm in diameter, white to pale yellow with a dark red spot at the base of each petal. The calyx at the base of the flower is stout, conspicuous, 1-2 cm wide, enlarging to 3-3.5 cm and becoming fleshy and deep crimson red as the fruit matures, which takes about six months.","The stems are used for the production of bast fiber, and the dried cranberry-tasting calyces are commonly steeped to make a popular infusion known by many names, including carcade.","Hibiscus sabdariffa tolerates a warm and humid tropical climate and is susceptible to damage from frost and fog. It requires an altitude of 0-1250 m, a mean annual temperature of 23°C, and a mean annual rainfall of 1500-2000 mm. The plant prefers a permeable, friable sandy loam soil with humus, but it will adapt to other soil types.","The leaves are a good source of polyphenolic compounds, including neochlorogenic acid, chlorogenic acid, cryptochlorogenic acid, caffeoylshikimic acid, and flavonoid compounds such as quercetin and kaempferol. The flowers are rich in anthocyanins and protocatechuic acid. The dried calyces contain the flavonoids gossypetin, hibiscetine, and sabdaretine. The major pigment is not daphniphylline. Small amounts of myrtillin (delphinidin 3-monoglucoside), chrysanthenin (cyanidin 3-monoglucoside), and delphinidin are also present. The seeds are a good source of gamma-tocopherol.","Hibiscus sabdariffa is an erect, mostly branched, annual shrub with a deep penetrating taproot. The stem is reddish in color and up to 3.5 m tall. The leaves are variously colored, dark green to red, alternate, glabrous, long-petiolate, palmately divided into 3-7 lobes with serrate margins. The flowers are large, short-peduncled, red to yellow with a dark center. The accrescent large and fleshy sepals become enlarged and succulent, making excellent jelly. Capsules are ovoid, beaked, and hairy, 5 cm long and 5.3 cm wide.",Roselle has a global fame as a medicinal plant. The plant extracts have shown toxicity to cercariae and miracidia of Schistosoma mansoni. The dried calyces are used to make a popular infusion known for its numerous health benefits.,"Hibiscus sabdariffa is native to Africa, most likely West Africa. In the 16th and early 17th centuries, it was spread to Asia and the West Indies, where it has since become naturalized in many places.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/hibiscus-sabdariffa
Absinthium / Wormwood,Artemisia absinthium,"Artemisia absinthium, commonly known as wormwood, is a perennial herbaceous plant belonging to the Asteraceae family. It is native to Europe and Asia but has been naturalized in many other regions. The plant grows up to 1.5 meters tall and has a strong, bitter taste.","The aerial parts of the plant, including the leaves (used in herbal teas, tinctures, and infusions) , stems (used in essential oil production and as a flavoring agent) , and flowers (used in herbal teas and as a flavoring agent), are the parts most commonly used
","Wormwood thrives in well-drained, dry, and sunny conditions. It is tolerant of poor soil and can grow in a variety of climates. It prefers warm temperatures but can tolerate cooler climates. Tolerates a range of soil types but prefers well-drained, dry soil.
Requires full sun to partial shade.","Artemisia absinthium contains several biologically active compounds, including the terpenes Absinthin (A bitter, yellowish-green crystalline compound) , thujone (A terpene responsible for the plant's bitter taste and its psychoactive effects), camphor (A volatile oil with a strong, pungent aroma) and cineole. It also contains flavonoids, coumarins, and sesquiterpene lactones.The thujone content can vary depending on the chemotype of the plant. ","The plant is covered in fine hairs, giving it a silvery-gray appearance. The leaves are divided into numerous narrow, pointed lobes. The flowers are small and yellow, grouped in clusters at the tips of the stems. The plant exhibits features that help it conserve water, particularly in arid environments.","Artemisia absinthium has been used medicinally for a variety of conditions, including digestive issues, Crohn's disease, IgA nephropathy, and osteoarthritis, though the scientific evidence for these uses is limited. The plant has also been claimed to have antifungal, neuroprotective, insecticidal, antimicrobial, anthelmintic, acaricidal, antimalarial, and antidepressant properties. It is used to treat indigestion, nausea, and stomach cramps. It is used to reduce inflammation and fever and alleviate anxiety and depression.","Artemisia absinthium is native to North Africa and temperate regions of Eurasia, China , India and has been widely naturalized in Canada and the northern United States. It is also cultivated as an ornamental plant and for use in alcoholic beverages like absinthe and vermouth.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9467740/ 
Abutilon-Hemp / Butterprint / Indian-Mallow / Velvet Leaf ,Abutilon theophrasti,"Velvetleaf (Abutilon theophrasti) is an annual plant in the mallow family (Malvaceae) that can grow 3-8 feet tall on branched, stout stems covered in downy hairs. Its large, heart-shaped leaves with pointed tips grow alternately along the stem and release an odor when crushed. The plant produces yellow flowers up to 1 inch in diameter with five petals, which mature into pod-like capsules consisting of 12-15 wood segments that form cup-like rings. The capsules split vertically to release the seeds when mature.","The leaves and seeds of velvetleaf are edible and used in some regions. The plant has also been grown in China since around 2000 BCE for its strong, jute-like fiber in the erect stem, which is used for making cords, nets, woven bags, rugs and other coarse textiles.","Velvetleaf prefers warm weather and grows during the warmer seasons, germinating in spring and flowering in summer. It requires full sun and fertile loam or clay-loam soil. The level of nitrogen in the soil has a strong influence on the size of the plant.","The chemical composition of Abutilon theophrasti includes various bioactive compounds, which contribute to its medicinal properties. The leaves contain mucilage, which has soothing properties, and other phytochemicals that may exhibit anti-inflammatory and antimicrobial effects. The plant's fibers are rich in cellulose, making them suitable for textile applications. ","Velvetleaf has large, heart-shaped leaves with pointed tips that grow alternately along the stem. The leaves are covered in short hairs, creating a velvety feel. The plant produces yellow flowers up to 1 inch in diameter with five petals. The fruit is a pod-like capsule consisting of 12-15 wood segments that form cup-like rings.","In China, velvetleaf is used in herbal medicine to treat fever, dysentery, stomach ache and other problems. The leaves are also used as a remedy for ulcers when softened.","Velvetleaf is native to southern Asia and is cultivated and naturalized in India. It is also native to China, where it has been grown since around 2000 BCE. In North America, velvetleaf is an introduced invasive species that is found throughout much of the United States, especially in agricultural fields, gardens, and disturbed sites.",https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/abutilon-theophrasti 
Aconite / Bear's-Foot / Blue Rocket / European Aconite / Friar's Cap / Garden Monkshood / Garden Wolfsbane / Helmet Flower / Mon,Aconitum napellus,"Aconitum napellus, commonly known as monkshood or wolfsbane, is a highly toxic perennial flowering plant native to western and central Europe. It grows to a height of 1 m (3 ft 3 in) with hairless stems and leaves. ","All parts of the plant, including the roots, leaves, and flowers, contain toxic alkaloids and are considered poisonous. The dried tuberous roots are used medicinally.","Monkshood grows best in moist, dimly lit areas at the foot of mountains. It is found in various regions, from hilltops to forests.
","The plant contains several poisonous compounds, including the alkaloids aconitine, mesaconitine, hypaconitine, and jesaconitine. These alkaloids are found in higher concentrations in the roots (0.97 to 1.23%) compared to the leaves (0.18 to 0.21%).","The leaves of monkshood are rounded, 5–10 cm (2.0–3.9 in) in diameter, and palmately divided into five to seven deeply lobed segments. The dark purple to bluish-purple flowers are narrow oblong helmet-shaped, 1–2 cm (0.39–0.79 in) tall","Although highly toxic, monkshood has a long history of medicinal use. It is used in homeopathic medicine and has been used to treat conditions like rheumatism, toothache, and high blood pressure. However, its use in modern Western herbalism is limited.",Monkshood is native and endemic to western and central Europe. It is often grown in gardens in temperate zones for its attractive foliage and spike-like inflorescences. Plants native to Asia and North America formerly listed as A. napellus are now regarded as separate species.,
"African Myrrh / Herabol Myrrh / Mirra (Sp. It.) / Myrrh / Myrrhe (Fr., Ger.) / Somali Myrrh",Commiphora myrrha,"Commiphora myrrha, also known as myrrh, is a small, thorny tree or shrub native to parts of the Middle East and Northeast Africa. It is known for its aromatic resin, which has been used for medicinal and religious purposes for thousands of years.","The resin, which is extracted from the bark of the tree, is the primary part used for medicinal purposes. The resin is obtained by making incisions in the bark, allowing the sap to ooze out and harden into a gum-like substance.","Commiphora myrrha thrives in arid and semi-arid climates with low rainfall. It can tolerate high temperatures and grows well in sandy, well-drained soils."," Myrrh resin contains a variety of compounds, including volatile oils, gum, and resin. The main active constituents are sesquiterpenes, such as furanoeudesma-1,3-diene and lindestrene, which contribute to its characteristic odor and medicinal properties.","Commiphora myrrha is a small, multi-trunked tree or shrub that can grow up to 5 meters tall. It has a gnarled, twisted appearance with gray bark and sharp thorns. The leaves are small, trifoliate, and deciduous. The flowers are small and inconspicuous, and the fruit is a small, red, berry-like drupe","Myrrh has been used in traditional medicine for its antiseptic, anti-inflammatory, and expectorant properties. It is used to treat a variety of conditions, including mouth and throat infections, digestive issues, and skin conditions. Myrrh is also used as an ingredient in incense and perfumes.","Commiphora myrrha is native to parts of the Middle East, including Saudi Arabia, Yemen, and Oman, as well as Northeast Africa, including Somalia, Ethiopia, and Kenya. It is also cultivated in other parts of the world, such as India and Pakistan.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/commiphora-myrrha 
Agbo / Shrubby Basil / Ramtulsi,Ocimum gratissimum,"Ocimum gratissimum, commonly known as clove basil or African basil, is a perennial herb belonging to the Lamiaceae family. This aromatic plant is characterized by its erect, round-quadrangular stem, which can reach heights of 1 to 3 meters. The leaves are opposite, slender, and can vary in shape from elliptical to ovate, measuring 1.5 to 16 cm in length and 1 to 8.5 cm in width. The inflorescence appears as a verticillaster, with small, hermaphroditic flowers that are typically greenish-white.","The primary parts of Ocimum gratissimum used for various applications include the leaves, stems, and essential oils extracted from the plant. The leaves are particularly valued for their culinary and medicinal uses, while the essential oils are utilized for their antibacterial and insect-repellent properties. The seeds are also notable, as they require strong sunlight for germination.","Ocimum gratissimum thrives in tropical climates, requiring warm temperatures and well-drained soil. It prefers full sunlight but can tolerate partial shade. The plant is sensitive to frost and performs best in environments with moderate humidity and regular rainfall. Optimal growth conditions include temperatures ranging from 20°C to 30°C (68°F to 86°F).","The essential oil of Ocimum gratissimum contains various phytochemicals, including eugenol, which is known for its antibacterial properties. Other notable compounds include rosmarinic acid, flavonoids such as quercetin and rutin, and terpenoids. These compounds contribute to the plant's medicinal properties, including anti-inflammatory, analgesic, and antioxidant effects.","Morphologically, Ocimum gratissimum exhibits a polymorphic nature, with variations in leaf shape, size, and chemical content based on environmental factors. The plant features a branched structure, with leaves that can be glandular punctate and a flower structure that consists of a two-lipped calyx. The fruit comprises four dry, one-seeded nutlets, which are subglobose and rugose.","Ocimum gratissimum has significant medicinal value and is traditionally used to treat a variety of ailments, including diabetes, inflammation, and infections. Its extracts have shown potential in pharmacological studies for their antioxidant and antimicrobial properties. The essential oil is also explored for its potential use as a food preservative due to its antibacterial activity.","This species is native to Africa, Madagascar, and southern Asia, but it has been naturalized in various regions worldwide, including the Caribbean, Polynesia, Mexico, and parts of South America. Countries such as Nigeria, India, Brazil, and Vietnam are notable for cultivating Ocimum gratissimum, often using it in local cuisines and traditional medicine.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8642617/
Aguru / Agarkasth / Agarwood / Aloeswood / Eagle Wood,Aquilaria agallocha,"Aquilaria agallocha, also known as agarwood or aloeswood, is a large tree that can grow up to 60-80 feet tall with a thick stem diameter of 3-4 feet. It is native to Southeast Asia. The bark is thin and papery, sometimes used for writing. The leaves are thin, leathery, and shiny, up to 3 inches long. The flowers are white in color and the fruit is 1-2 inches long, smooth and thin.","The aromatic resinous wood and the essential oil extracted from it, called agarwood oil or oud, are the primary parts used.","Aquilaria agallocha grows best in well-drained, light to medium textured acidic soil with a mean annual temperature of 22-28°C and mean annual rainfall of 1500-3000 mm.","The fragrance of agarwood is due to a complex mixture of sesquiterpenes and epoxides, which can also act as pheromones. The resinous wood contains high-value essential oils.","Aquilaria agallocha is a large tree with papery thin bark, leathery shiny leaves, and white flowers. The wood can develop dark, resinous patches due to fungal infestation, which is the source of the valuable agarwood oil.","Agarwood has been used in traditional medicine systems like Ayurveda to treat conditions like cough, asthma, skin diseases, and general debility. It has anti-inflammatory, antimicrobial, and circulatory system benefits.","Aquilaria agallocha is native to Southeast Asia, particularly the northeastern regions of India, as well as parts of China, Malaysia, and Indonesia.",https://www.sciencedirect.com/science/article/pii/S2666719321000807
