Plant_Name,Scientific_Name,NCBI_Taxonomy_ID,Order,Family,Genus,Species,NCBI_link
Absinthium / Wormwood,Artemisia absinthium,72332,Asterales,Asteraceae,Artemisia,absinthium,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72332/
Aloevera / acibar / babosa / Barbados aloe / Ghee Kunwar / Aloes,Aloe barbadensis Miller,34199,Asparagales,Asphodelaceae,Aloe,barbadensis Miller,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34199/
Amla / Emblic / Indian-gooseberry,Phyllanthus emblica,296036,Malpighiales,Phyllanthaceae,Phyllanthus,emblica,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/296036/
Ankol / Sage leaf alangium,Alangium salviifolium,616984,Cornales,Cornaceae,Alangium,salviifolium,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/616984/
Arracacha,Arracacia xanthorrhiza,264540,Apiales,Apiaceae,Arracacia,xanthorrhiza,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/264540/
Ashoka Tree,Saraca asoca,1073321,Fabales,Fabaceae,Saraca,asoca,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073321/
Ashwangandha,Withania somnifera,126910,Solanales,Solanaceae,Withania,somnifera,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/126910/
Assam tea,Camellia sinensis var. assamica,261999,Ericales,Theaceae,Camellia,sinensis var. assamica,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/261999/
Aatki / Serpentwood,Rauvolfia serpentina (L.) Benth. Ex Kurz,4060,Gentianales,Apocynaceae,Rauvolfia,serpentina (L.) Benth. Ex Kurz,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4060/
Aguru / Agarkasth / Eagle Wood,Aquilaria agallocha,1472648,Malvales,Thymelaeaceae,Aquilaria,agallocha,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1472648/
Akarkara / Pellitory,Anacyclus pyrethrum,159698,Asterales,Asteraceae,Anacyclus,pyrethrum,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/159698/
Alasyakampa,Acampe papillosa (Lindl.) Lindl.,339027,Asparagales,Orchidaceae,Acampe,papillosa (Lindl.) Lindl.,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/339027/
Ambrosia,Ambrosia artemisifolia,4212,Asterales,Asteraceae,Ambrosia,artemisifolia,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4212/
Australian / Ibogaine Bush / Iodine Bush,Tabernaemontana orientalis R.Br.,715769,Gentianales,Apocynaceae,Tabernaemontana,orientalis R.Br.,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/715769/
Anantamool / Naruneendi / Nannari,Hemidesmus indicus,63476,Gentianales,Apocynaceae,Hemidesmus,indicus,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63476/
Apamarga,Achyranthes bidentata Blume,384659,Caryophyllales,Amaranthaceae,Achyranthes,bidentata Blume,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/384659/
Apple,Malus pumila,283210,Rosales,Rosaceae,Malus,pumila,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/283210/
Apricot,Prunus armeniaca,36596,Rosales,Rosaceae,Prunus,armeniaca,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/36596/
Aster,Aster tataricus,588669,Asterales,Asteraceae,Aster,tataricus,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/588669/
Astragalus,Astragalus spp.,20400,Fabales,Fabaceae,Astragalus,spp.,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/20400/
Atees / Indian Ateeq,Aconitum heterophyllum,279769,Ranunculales,Ranunculaceae,Aconitum,heterophyllum,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/279769/
Avocado,Persea americana,3435,Laurales,Lauraceae,Persea,americana,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3435/
Ayapaan,Ayapana triplinervis,1090619,Asterales,Asteraceae,Ayapana,triplinervis,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1090619/
Babool / Indian Gum,Acacia arabica Willd,658885,Fabales,Fabaceae,Acacia,arabica Willd,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/658885/
