Plant_Name,Scientific_Name,Nucleotide,Genome_Sequence,mRNA_Sequence,NCBI_link
Absinthium / Wormwood,Artemisia absinthium,171,166,5,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72332/
Aloevera / acibar / babosa / Barbados aloe / Ghee Kunwar / Aloes,Aloe barbadensis Miller,257,232,23,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34199/
Amla / Emblic / Indian-gooseberry,Phyllanthus emblica,177,150,26,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/296036/
Ankol / Sage leaf alangium,Alangium salviifolium,53,39,14,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/616984/
Arracacha,Arracacia xanthorrhiza,59,58,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/264540/
Ashoka Tree,Saraca asoca,142,132,10,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073321/
Ashwangandha,Withania somnifera,"74,640",214,914,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/126910/
Assam tea,Camellia sinensis var. assamica,"11,895","1,055","10,840",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/261999/
Aatki / Serpentwood,Rauvolfia serpentina (L.) Benth. Ex Kurz,"99,649",100,"99,549",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4060/
Aguru / Agarkasth / Eagle Wood,Aquilaria agallocha,"15,254","15,215",39,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1472648/
Akarkara / Pellitory,Anacyclus pyrethrum,29,29,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/159698/
Alasyakampa,Acampe papillosa (Lindl.) Lindl.,17,17,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/339027/
Ambrosia,Ambrosia artemisifolia,"9,486","6,469",167,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4212/
Australian / Ibogaine Bush / Iodine Bush,Tabernaemontana orientalis R.Br.,1,1,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/715769/
Anantamool / Naruneendi / Nannari,Hemidesmus indicus,59,58,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63476/
Apamarga,Achyranthes bidentata Blume,"1,110","1,072",38,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/384659/
Apple,Malus pumila,158,77,77,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/283210/
Apricot,Prunus armeniaca,"115,132","1,550","15,294",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/36596/
Aster,Aster tataricus,54,48,6,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/588669/
Astragalus,Astragalus spp.,"8,496","8,088",405,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/20400/
Atees / Indian Ateeq,Aconitum heterophyllum,63,62,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/279769/
Avocado,Persea americana,"17,955","1,106","16,845",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3435/
Ayapaan,Ayapana triplinervis,35,4,31,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1090619/
Babool / Indian Gum,Acacia arabica Willd,15,15,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/658885/
Bahera,Terminalia bellirica,98,98,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/155021/
Bala,Sida cordifolia,79,66,13,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/108362/
Bamboo,Bambusa vulgaris,212,212,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/58168/
Bamunhati,Clerodendrum indicum (L.) Ktze,124,124,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/680190/
Banana,Musa paradisiaca,"50,427",826,"49,598",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/89151/
Basil / Sweet basil,Ocimum basilicum,"24,299",423,"23,873",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39350/ 
Barakanghi,Abutilon hirtum (Lam.) Sweet,3,3,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2511949/
Bael / Bilwa,Aegle Marmelos Corr. Ex. Roxb. Rutaceae,111,102,9,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/68527/
Beetroot,Beta vulgaris,"5,96,816","4,64,380","1,23,193",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/161934/
Broccoli,Brassica oleracea,"10,25,240","7,20,508","2,36,697",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3712/
Bearberry / Kinnikinnick,Arctostaphylos uva-ursi,463,463,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/84009/
Betony / Bishop's-wort,Betonica officinalis,164,163,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53173/
Bharangi / Blue glory,Rotheca serrata,56,56,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1158923/
Bhelwa,Semecarpus anacardium,5,5,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/289767/
Bhojpatra / cao pi hua / Himalayan birch,Betula utilis,105,105,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/228163/
Bhringaraj,Eclipta prostrata,169,163,6,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53719/
Bidens,Bidens pilosa,196,188,8,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/42337/
Bitter melon / balsam pear / bitter gourd / Karon Akhaba / Karela,Momordica charantia,"1,39,841","1,971","28,814",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3673/
Black walnut,Juglans nigra,289,197,92,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/16719/
Blackcurrant,Ribes nigrum,"6,365",70,"6,295",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/78511/
Blue cohosh,Caulophyllum thalictroides,44,44,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/46963/
Boneset,Eupatorium perfoliatum,44,44,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/102777/
Brahmi / water hyssop,Bacopa monnieri,138,86,52,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/263974/
Brihati,Solanum indicum Linn.,45,44,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/227722/
Broom,Cytisus scoparius,"1,241","1,241",0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3835/
Bryophyllum / Panfuti,Kalanchoe pinnata,67,46,21,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/80913/
Calabash,Lagenaria siceraria,"49,145","49,136",8,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3668/
Cress,Lepidium sativum,368,63,305,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/33125/
Calendula / Marigold,Calendula officinalis,154,132,22,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41496/
California poppy,Eschscholzia californica,"17,099",304,"16,795",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3467/
Camphor,Cinnamomum camphora,675,413,262,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13429/
Canada thistle,Cirsium arvense,407,229,178,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41550/
