Plant_Id,Plant_Name,Scientific_Name,Nucleotide,mRNA_Sequence,Genome_Sequence,NCBI_link
1, Absinthium / Wormwood,Artemisia absinthium,159,5,154,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72332/ 
2, Aloevera / acibar / babosa / Barbados aloe / Ghee Kunwar / Aloes,Aloe barbadensis Miller,256,23,231,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34199/ 
3, Amla / Emblic / Indian-gooseberry,Phyllanthus emblica,176,26,149,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/296036/ 
4, Ankol / Sage leaf alangium,Alangium salviifolium,39,0,39,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/616984/ 
5, Arracacha,Arracacia xanthorrhiza,58,1,57,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/264540/ 
6, Ashoka Tree,Saraca asoca,132,0,132,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073321/ 
7, Ashwangandha,Withania somnifera,"74,637",914,211,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/126910/ 
8, Assam tea,Camellia sinensis var. assamica ,"11,870","10,840","1,030",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/261999/ 
9,Aatki / Serpentwood,Rauvolfia serpentina (L.) Benth. Ex Kurz,"99,646","99,549",97,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4060/ 
10,Aguru / Agarkasth / Eagle Wood,Aquilaria agallocha,"15,254",39,"15,215",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1472648/ 
11,Akarkara / Pellitory,Anacyclus pyrethrum,29,0,29,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/159698/ 
12,Alasyakampa,Acampe papillosa (Lindl.) Lindl.,17,0,17,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/339027/ 
13,Ambrosia,Ambrosia artemisifolia,"9,480",167,"6,463",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4212/ 
14,Australian / Ibogaine Bush / Iodine Bush,Tabernaemontana orientalis R.Br.,1,0,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/715769/ 
15,Anantamool / Naruneendi / Nannari,Hemidesmus indicus,59,1,58,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63476/ 
