Plant_Name,Scientific_Name,Phytochemicals,Activity_Count,Formula,IUPAC_Name,SMILES,Plant_Part,Molecular_Mass,Monoisotopic_Mass,LogP,Hydrogen_Acceptors,Hydrogen_Donors,Rotatable_Bond_Count,Polar_Surface_Area,Structure,References
Goa-Butter / Kokam / Kokum,Garcinia indica,Caryophyllen-beta,2,C15H24,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",[H][C@]12CC(C)(C)[C@]1([H])CC\C(C)=C\CCC2=C,Peel,204.357,204.1878008,5.35,0,0,0,0,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=5281515&t=s ,"https://phytohub.eu/entries/PHUB000111 , 
https://pubchem.ncbi.nlm.nih.gov/compound/5281515 "
Cowage / Kauch beej / Velvetbean,Mucuna pruriens,HYDROXYGENISTEIN,0,"
C21H20O11","4,5-dihydroxy-3-(4-hydroxyphenyl)-7-[(2S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",C1=CC(=CC=C1C2=C(C3=C(C=C(C=C3OC2=O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,"Leaf, Diffusate",448.4,448.1005615,Not Available,11,7,4,186,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=129636354&t=s,https://pubchem.ncbi.nlm.nih.gov/compound/129636354#section=Consolidated-References
Yarrow,Achillea millefolium,(-)-BETONICINE,2,C7H13NO3,"(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate",C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O,Plant,159.185,159.0895433,-1.54,3,1,1,60.36,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=164642&t=s ,"https://phytohub.eu/entries/PHUB001875 , 
https://pubchem.ncbi.nlm.nih.gov/compound/164642 "
Valerian / Common valerian / Garden heliotrope,Valeriana officinalis,(-)-BORNEOL,3,C10H18O,Not Available,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,Root Essent. Oil,154.253,154.1357652,Not Available,Not Available,Not Available,Not Available,Not Available,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=1201518&t=s,"https://phytohub.eu/entries/PHUB002859 , 
https://pubchem.ncbi.nlm.nih.gov/compound/1201518 "
Valerian / Common valerian / Garden heliotrope,Valeriana officinalis,(-)-BORNEOL,3,C10H18O,Not Available,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,Root,154.253,154.1357652,Not Available,Not Available,Not Available,Not Available,Not Available,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=1201518&t=s,"https://phytohub.eu/entries/PHUB002859 , 
https://pubchem.ncbi.nlm.nih.gov/compound/1201518 "
"Abutilon-Hemp, Butterprint, Indian-Mallow, Velvet Leaf",Abutilon theophrasti,(-)-EPICATECHIN,38,C15H14O6,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,Root,290.271,290.0790382,1.02,6,5,1,110.38,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=72276&t=s,"https://phytohub.eu/entries/PHUB000262 , 
https://pubchem.ncbi.nlm.nih.gov/compound/72276 "
Chinese Ephedra / Ma Huang,Ephedra sinica,(-)-EPICATECHIN,38,C15H14O6,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,Root,290.271,290.0790382,1.02,6,5,1,110.38,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=72276&t=s,"https://phytohub.eu/entries/PHUB000262 , 
https://pubchem.ncbi.nlm.nih.gov/compound/72276 "
Mace / Muskatnussbaum (Ger.) / Nogal moscado (Sp.) / Nuez moscada (Sp.) / Nutmeg,Myristica fragrans,(-)-EPICATECHIN,38,C15H14O6,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,Root,290.271,290.0790382,1.02,6,5,1,110.38,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=72276&t=s,"https://phytohub.eu/entries/PHUB000262 , 
https://pubchem.ncbi.nlm.nih.gov/compound/72276 "
Japanese Cinnamon,Cinnamomum sieboldii,(-)-EPICATECHIN,38,C15H14O6,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,Root,290.271,290.0790382,1.02,6,5,1,110.38,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=72276&t=s,"https://phytohub.eu/entries/PHUB000262 , 
https://pubchem.ncbi.nlm.nih.gov/compound/72276 "
Tea plant / Black tea,Camellia sinensis,(-)-EPICATECHIN,38,C15H14O6,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,Root,290.271,290.0790382,1.02,6,5,1,110.38,https://pubchem.ncbi.nlm.nih.gov/image/img3d.cgi?&cid=72276&t=s,"https://phytohub.eu/entries/PHUB000262 , 
https://pubchem.ncbi.nlm.nih.gov/compound/72276 "
