Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Absinthium / Wormwood,Artemisia absinthium,425,150,606,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72332/
Aloevera / acibar / babosa / Barbados aloe / Ghee Kunwar / Aloes,Aloe barbadensis Miller,481,0,7,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34199/
Amla / Emblic / Indian-gooseberry,Phyllanthus emblica,381,151,396,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/296036/
Ankol / Sage leaf alangium,Alangium salviifolium,36,32,44,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/616984/
Arracacha,Arracacia xanthorrhiza,145,73,"4,448",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/264540/
Ashoka Tree,Saraca asoca,91,38,118,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073321/
Ashwangandha,Withania somnifera,680,394,787,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/126910/
Assam tea,Camellia sinensis var. assamica,"3,000",629,"13,528",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/261999/
Aatki / Serpentwood,Rauvolfia serpentina (L.) Benth. Ex Kurz,353,0,3,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4060/
Aguru / Agarkasth / Eagle Wood,Aquilaria agallocha,411,146,413,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1472648/
Akarkara / Pellitory,Anacyclus pyrethrum,14,13,14,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/159698/
Alasyakampa,Acampe papillosa (Lindl.) Lindl.,83,0,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/339027/
Ambrosia,Ambrosia artemisifolia,"34,096",0,"1,73,087",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4212/
Australian / Ibogaine Bush / Iodine Bush,Tabernaemontana orientalis R.Br.,"34,906",1,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/715769/
Anantamool / Naruneendi / Nannari,Hemidesmus indicus,200,108,221,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63476/
Apamarga,Achyranthes bidentata Blume,561,0,257,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/384659/
Apple,Malus pumila,144,137,"24,014",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/283210/
Apricot,Prunus armeniaca,"2,05,153","1,35,298","2,95,883",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/36596/
Aster,Aster tataricus,275,105,465,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/588669/
Astragalus,Astragalus spp.,"12,879",0,230,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/20400/
Atees / Indian Ateeq,Aconitum heterophyllum,44,40,44,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/279769/
Avocado,Persea americana,"43,624","41,955","2,04,025",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3435/
Ayapaan,Ayapana triplinervis,34,33,35,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1090619/
Babool / Indian Gum,Acacia arabica Willd,10,4,10,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/658885/
Bahera,Terminalia bellirica,49,36,108,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/155021/
Bala,Sida cordifolia,33,18,75,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/108362/
Bamboo,Bambusa vulgaris,409,156,634,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/58168/
Bamunhati,Clerodendrum indicum (L.) Ktze,54,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/680190/
Banana,Musa paradisiaca,"1,271",621,"5,461",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/89151/
Basil / Sweet basil,Ocimum basilicum,934,308,"10,155",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39350/
Barakanghi,Abutilon hirtum (Lam.) Sweet,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2511949/
Bael / Bilwa,Aegle Marmelos Corr. Ex. Roxb. Rutaceae,236,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/68527/
Beetroot,Beta vulgaris,"68,345","53,361","1,90,607",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/161934/
Broccoli,Brassica oleracea,"1,27,912","1,05,237","5,71,370",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3712/
Bearberry / Kinnikinnick,Arctostaphylos uva-ursi,106,87,115,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/84009/
Betony / Bishop's-wort,Betonica officinalis,192,95,192,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53173/
Bharangi / Blue glory,Rotheca serrata,264,142,265,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1158923/
Bhelwa,Semecarpus anacardium,1,1,3,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/289767/
Bhojpatra / cao pi hua / Himalayan birch,Betula utilis,302,111,328,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/228163/
Bhringaraj,Eclipta prostrata,255,141,641,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53719/
Bidens,Bidens pilosa,699,389,"1,200",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/42337/
Bitter melon / balsam pear / bitter gourd / Karon Akhaba / Karela,Momordica charantia,"29,519","24,432","35,004",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3673/
Black walnut,Juglans nigra,318,158,"14,665",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/16719/
Blackcurrant,Ribes nigrum,534,191,"6,160",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/78511/
Blue cohosh,Caulophyllum thalictroides,211,115,211,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/46963/
Boneset,Eupatorium perfoliatum,31,21,31,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/102777/
