Plant_Name,Scientific_Name,SRA,DNA,RNA,BioProject,BioSample,NCBI_link
Absinthium / Wormwood,Artemisia absinthium,9,5,4,11,10,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72332/
Aloevera / acibar / babosa / Barbados aloe / Ghee Kunwar / Aloes,Aloe barbadensis Miller,43,11,32,11,43,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34199/
Amla / Emblic / Indian-gooseberry,Phyllanthus emblica,18,7,11,11,28,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/296036/
Ankol / Sage leaf alangium,Alangium salviifolium,1,1,0,1,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/616984/
Arracacha,Arracacia xanthorrhiza,0,0,0,1,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/264540/
Ashoka Tree,Saraca asoca,5,2,3,3,7,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073321/
Ashwangandha,Withania somnifera,99,44,55,23,76,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/126910/
Assam tea,Camellia sinensis var. assamica,378,326,52,24,456,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/261999/
Aatki / Serpentwood,Rauvolfia serpentina (L.) Benth. Ex Kurz,16,0,16,5,14,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4060/
Aguru / Agarkasth / Eagle Wood,Aquilaria agallocha,12,3,9,2,10,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1472648/
Akarkara / Pellitory,Anacyclus pyrethrum,184,184,0,2,93,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/159698/
Alasyakampa,Acampe papillosa (Lindl.) Lindl.,0,0,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/339027/
Ambrosia,Ambrosia artemisifolia,"3,775","3,211",372,34,"3,785",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4212/
Australian / Ibogaine Bush / Iodine Bush,Tabernaemontana orientalis R.Br.,1,1,0,1,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/715769/
Anantamool / Naruneendi / Nannari,Hemidesmus indicus,0,0,0,1,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63476/
Apamarga,Achyranthes bidentata Blume,35,15,20,12,30,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/384659/
Apple,Malus pumila,124,27,97,14,177,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/283210/
Apricot,Prunus armeniaca,"2,804","2,272",532,68,"2,962",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/36596/
Aster,Aster tataricus,18,2,16,6,19,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/588669/
Astragalus,Astragalus spp.,"1,789","1,615",174,121,"1,923",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/20400/
Atees / Indian Ateeq,Aconitum heterophyllum,0,0,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/279769/
Avocado,Persea americana,906,563,343,68,896,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3435/
Ayapaan,Ayapana triplinervis,1,1,0,1,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1090619/
Babool / Indian Gum,Acacia arabica Willd,0,0,0,1,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/658885/
Bahera,Terminalia bellirica,0,0,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/155021/
Bala,Sida cordifolia,1,0,1,1,3,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/108362/
Bamboo,Bambusa vulgaris,113,109,4,6,116,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/58168/
Bamunhati,Clerodendrum indicum (L.) Ktze,1,1,0,1,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/680190/
Banana,Musa paradisiaca,810,630,179,30,745,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/89151/
Basil / Sweet basil,Ocimum basilicum,500,353,147,31,510,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39350/
Barakanghi,Abutilon hirtum (Lam.) Sweet,0,0,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2511949/
Bael / Bilwa,Aegle Marmelos Corr. Ex. Roxb. Rutaceae,12,4,8,9,14,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/68527/
Beetroot,Beta vulgaris,"4,739","3,227","1,500",563,"4,267",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/161934/
Broccoli,Brassica oleracea,"8,664","5,856","2,735",302,"8,036",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3712/
Bearberry / Kinnikinnick,Arctostaphylos uva-ursi,3,3,0,3,8,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/84009/
Betony / Bishop's-wort,Betonica officinalis,129,125,1,4,133,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53173/
Bharangi / Blue glory,Rotheca serrata,3,3,0,5,3,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1158923/
Bhelwa,Semecarpus anacardium,0,0,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/289767/
Bhojpatra / cao pi hua / Himalayan birch,Betula utilis,26,25,1,9,27,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/228163/
